"","DATA_YEAR","REGION_NAME","officersAssaulted"
"1","1995","Midwest",7257
"2","1995","Northeast",10277
"3","1995","South",19498
"4","1995","West",10476
"5","1996","Midwest",7074
"6","1996","Northeast",12250
"7","1996","South",12396
"8","1996","West",7693
"9","1997","Midwest",6757
"10","1997","Northeast",12180
"11","1997","South",13915
"12","1997","West",10909
"13","1998","Midwest",6364
"14","1998","Northeast",11213
"15","1998","South",18557
"16","1998","West",10529
"17","1999","Midwest",5460
"18","1999","Northeast",8582
"19","1999","South",18183
"20","1999","West",10434
"21","2000","Midwest",6557
"22","2000","Northeast",9267
"23","2000","South",17185
"24","2000","West",10931
"25","2001","Midwest",7737
"26","2001","Northeast",9455
"27","2001","South",17603
"28","2001","West",10747
"29","2002","Midwest",7988
"30","2002","Northeast",7434
"31","2002","South",17699
"32","2002","West",11242
"33","2003","Midwest",6593
"34","2003","Northeast",7483
"35","2003","South",16862
"36","2003","West",11375
"37","2004","Midwest",6964
"38","2004","Northeast",7516
"39","2004","South",17310
"40","2004","West",11649
"41","2005","Midwest",6644
"42","2005","Northeast",7047
"43","2005","South",17091
"44","2005","West",11723
"45","2006","Midwest",7335
"46","2006","Northeast",7503
"47","2006","South",17624
"48","2006","West",11894
"49","2007","Midwest",8164
"50","2007","Northeast",7653
"51","2007","South",16981
"52","2007","West",12508
"53","2008","Midwest",7922
"54","2008","Northeast",7744
"55","2008","South",17297
"56","2008","West",12871
"57","2009","Midwest",7281
"58","2009","Northeast",7521
"59","2009","South",17544
"60","2009","West",12680
"61","2010","Midwest",6548
"62","2010","Northeast",7255
"63","2010","South",16981
"64","2010","West",12316
"65","2011","Midwest",6368
"66","2011","Northeast",6268
"67","2011","South",15380
"68","2011","West",12360
"69","2012","Midwest",6474
"70","2012","Northeast",6454
"71","2012","South",14669
"72","2012","West",12721
"73","2013","Midwest",5519
"74","2013","Northeast",6141
"75","2013","South",14834
"76","2013","West",12273
"77","2014","Midwest",5710
"78","2014","Northeast",6022
"79","2014","South",12974
"80","2014","West",11334
"81","2015","Midwest",5845
"82","2015","Northeast",7350
"83","2015","South",12744
"84","2015","West",13800
"85","2016","Midwest",6596
"86","2016","Northeast",7554
"87","2016","South",16356
"88","2016","West",14868
"89","2017","Midwest",4425
"90","2017","Northeast",5500
"91","2017","South",13693
"92","2017","West",11982
"93","2018","Midwest",5161
"94","2018","Northeast",5818
"95","2018","South",12892
"96","2018","West",13532
"97","2019","Midwest",5264
"98","2019","Northeast",3984
"99","2019","South",14577
"100","2019","West",9688
